loan_amnt,term,int_rate,annual_inc,dti,fico_avg,emp_length,revol_util,delinq_2yrs,open_acc,pub_rec,PD,LGD,EAD,Expected_Loss,grade,vintage_year,actual_default
24500,36,12.59,70000,22.57,687,2,49.4,2,15,0,0.198199062,0.45,24500,2185.144659,C,2015,0
12000,36,14.33,50000,18.81,677,0,62.7,1,8,0,0.215074846,0.45,12000,1161.404167,C,2015,0
6000,36,6.99,110000,11.71,737,10,35,0,10,0,0.05182987,0.45,6000,139.9406485,A,2015,0
15000,36,5.32,75000,24.16,752,10,26.4,0,17,0,0.054344194,0.45,15000,366.8233098,A,2015,0
5050,36,13.67,90000,25.08,687,10,40,1,10,0,0.195224874,0.45,5050,443.6485261,C,2015,0
17650,36,10.64,65000,15.25,662,5,60.6,0,6,1,0.1441061,0.45,17650,1144.562696,B,2015,0
23000,36,10.78,62341,17.31,682,10,65.5,0,5,1,0.126324135,0.45,23000,1307.454796,B,2015,0
8000,36,9.76,72000,15.05,697,1,85.1,0,9,0,0.099947521,0.45,8000,359.8110766,B,2015,0
8000,36,16.55,75000,19.6,672,3,36.5,1,13,0,0.292223531,0.45,8000,1052.004712,D,2015,1
34750,36,14.33,96000,39.47,697,10,52.2,1,27,0,0.294457692,0.45,34750,4604.582159,C,2015,0
8875,36,11.22,116000,11.25,722,4,44,1,9,1,0.098031921,0.45,8875,391.5149842,B,2015,0
18925,60,12.59,80000,31.61,777,10,22.1,0,19,0,0.22345623,0.45,18925,1903.009117,C,2015,0
10500,36,10.99,49800,8.82,667,2,64,0,19,0,0.152547509,0.45,10500,720.7869817,B,2015,0
14000,60,16.59,57000,26.97,692,3,6.9,0,14,0,0.474182645,0.45,14000,2987.350666,D,2015,1
35000,60,18.2,75000,22.9,672,7,71.4,0,17,0,0.522392662,0.45,35000,8227.684421,E,2015,1
15150,60,18.49,90000,30.07,667,9,33,0,10,4,0.547842143,0.45,15150,3734.913807,E,2015,1
6000,36,11.48,30680,21.67,672,1,83.7,0,8,0,0.161046075,0.45,6000,434.8244016,B,2015,0
7000,36,8.38,35000,21.91,747,10,26,1,18,0,0.080179272,0.45,7000,252.5647075,B,2015,0
18000,60,11.99,112000,8.68,802,10,15.5,0,17,0,0.124694311,0.45,18000,1010.023916,C,2015,0
8650,36,15.41,30000,22.6,667,10,43.7,0,4,0,0.248549919,0.45,8650,967.4805612,D,2015,0
14700,60,18.2,120000,22.02,672,6,27.7,0,12,4,0.504802522,0.45,14700,3339.268686,E,2015,1
